source_ensemblID,source_gene_symbol,source_celltype,source_means,source_quality,source_Gene_Symbol_human,target_ensemblID,target_gene_symbol,target_celltype,target_means,target_quality,target_Gene_Symbol_human,source_log2FC,target_log2FC,source_nodes,target_nodes,pair,interaction_type,interaction_redundancy,source_influenced_genes,target_influenced_genes,source_influenced_celltypes,target_influenced_celltypes,source_influencer_celltypes,target_influencer_celltypes
ENSDARG00000061436,col6a2,CM+,8.253245897228757,0.75,COL6A2,ENSDARG00000059906,sdc4,EC,12.2923141427336,1.0,SDC4,6.567757329,0.0,col6a2_CM+,sdc4_EC,col6a2_sdc4,CM+_EC,"CM+_CM+, CM+_CM-, CM+_FB, CM+_EC","itgb8, itga2.2, itgav, itga1, sdc4, itga11b, itga11a, itga3b, itga9, itga2.1, cd44b, itga2.3","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+",CM+,"EC, CM-, FB, CM+"
ENSDARG00000061436,col6a2,CM+,8.253245897228757,0.75,COL6A2,ENSDARG00000059906,sdc4,CM+,12.41588887812548,1.0,SDC4,6.567757329,0.0,col6a2_CM+,sdc4_CM+,col6a2_sdc4,CM+_CM+,"CM+_CM+, CM+_CM-, CM+_FB, CM+_EC","itgb8, itga2.2, itgav, itga1, sdc4, itga11b, itga11a, itga3b, itga9, itga2.1, cd44b, itga2.3","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+",CM+,"EC, CM-, FB, CM+"
ENSDARG00000061436,col6a2,CM+,8.253245897228757,0.75,COL6A2,ENSDARG00000059906,sdc4,CM-,13.549984891252466,1.0,SDC4,6.567757329,0.0,col6a2_CM+,sdc4_CM-,col6a2_sdc4,CM+_CM-,"CM+_CM+, CM+_CM-, CM+_FB, CM+_EC","itgb8, itga2.2, itgav, itga1, sdc4, itga11b, itga11a, itga3b, itga9, itga2.1, cd44b, itga2.3","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+",CM+,"EC, CM-, FB, CM+"
ENSDARG00000060410,thbs2a,FB,10.800160752389274,1.0,THBS2,ENSDARG00000059906,sdc4,FB,12.3915327561331,1.0,SDC4,-3.01089446827862,0.0,thbs2a_FB,sdc4_FB,thbs2a_sdc4,FB_FB,"FB_FB, FB_EC, FB_CM+, FB_CM-","dll4, itga6b, itgav, jag2a, jag1b, sdc4, jag1a, notch3, itga6a, itga3b, ENSDARG00000114226|NOTCH4, itgb3b, itgb3a, jag2b, itga4","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB","EC, CM-, FB, CM+"
ENSDARG00000060410,thbs2a,FB,10.800160752389274,1.0,THBS2,ENSDARG00000059906,sdc4,EC,12.2923141427336,1.0,SDC4,-3.01089446827862,0.0,thbs2a_FB,sdc4_EC,thbs2a_sdc4,FB_EC,"FB_FB, FB_EC, FB_CM+, FB_CM-","dll4, itga6b, itgav, jag2a, jag1b, sdc4, jag1a, notch3, itga6a, itga3b, ENSDARG00000114226|NOTCH4, itgb3b, itgb3a, jag2b, itga4","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB","EC, CM-, FB, CM+"
ENSDARG00000060410,thbs2a,FB,10.800160752389274,1.0,THBS2,ENSDARG00000059906,sdc4,CM+,12.41588887812548,1.0,SDC4,-3.01089446827862,0.0,thbs2a_FB,sdc4_CM+,thbs2a_sdc4,FB_CM+,"FB_FB, FB_EC, FB_CM+, FB_CM-","dll4, itga6b, itgav, jag2a, jag1b, sdc4, jag1a, notch3, itga6a, itga3b, ENSDARG00000114226|NOTCH4, itgb3b, itgb3a, jag2b, itga4","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB","EC, CM-, FB, CM+"
ENSDARG00000060410,thbs2a,FB,10.800160752389274,1.0,THBS2,ENSDARG00000059906,sdc4,CM-,13.549984891252466,1.0,SDC4,-3.01089446827862,0.0,thbs2a_FB,sdc4_CM-,thbs2a_sdc4,FB_CM-,"FB_FB, FB_EC, FB_CM+, FB_CM-","dll4, itga6b, itgav, jag2a, jag1b, sdc4, jag1a, notch3, itga6a, itga3b, ENSDARG00000114226|NOTCH4, itgb3b, itgb3a, jag2b, itga4","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB","EC, CM-, FB, CM+"
ENSDARG00000098431,comp,CM+,6.078990145663138,0.75,COMP,ENSDARG00000059906,sdc4,FB,12.3915327561331,1.0,SDC4,5.332396759,0.0,comp_CM+,sdc4_FB,comp_sdc4,CM+_FB,"CM+_CM+, CM+_CM-, CM+_FB, CM+_EC","itgav, sdc4, itga3b, itgb3b, itgb3a","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+",CM+,"EC, CM-, FB, CM+"
ENSDARG00000098431,comp,CM+,6.078990145663138,0.75,COMP,ENSDARG00000059906,sdc4,EC,12.2923141427336,1.0,SDC4,5.332396759,0.0,comp_CM+,sdc4_EC,comp_sdc4,CM+_EC,"CM+_CM+, CM+_CM-, CM+_FB, CM+_EC","itgav, sdc4, itga3b, itgb3b, itgb3a","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+",CM+,"EC, CM-, FB, CM+"
ENSDARG00000098431,comp,CM+,6.078990145663138,0.75,COMP,ENSDARG00000059906,sdc4,CM+,12.41588887812548,1.0,SDC4,5.332396759,0.0,comp_CM+,sdc4_CM+,comp_sdc4,CM+_CM+,"CM+_CM+, CM+_CM-, CM+_FB, CM+_EC","itgav, sdc4, itga3b, itgb3b, itgb3a","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+",CM+,"EC, CM-, FB, CM+"
ENSDARG00000098431,comp,CM+,6.078990145663138,0.75,COMP,ENSDARG00000059906,sdc4,CM-,13.549984891252466,1.0,SDC4,5.332396759,0.0,comp_CM+,sdc4_CM-,comp_sdc4,CM+_CM-,"CM+_CM+, CM+_CM-, CM+_FB, CM+_EC","itgav, sdc4, itga3b, itgb3b, itgb3a","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+",CM+,"EC, CM-, FB, CM+"
